A,Quantity,Transaction,Store,Product
30434,2,94361,2,Pencils
30435,2,94361,2,Pencils
30436,2,94361,2,Pencils
30437,1,94370,5,Candy Bar
30438,1,94370,5,Candy Bar
30439,1,94370,5,Pencils
30440,2,94379,10,Toothpaste
30441,2,94379,10,Candy Bar
30442,2,94379,10,Candy Bar
30443,2,94379,10,Candy Bar
30444,1,94382,10,Toothbrush
30445,3,94382,10,Toothbrush
30446,2,94388,9,Pain Reliever
30447,2,94391,7,Pain Reliever
30448,3,94397,10,Pain Reliever
30449,1,94400,10,Greeting Cards
30450,1,94400,10,Greeting Cards
30451,1,94409,10,Pencils
30452,3,94412,10,Greeting Cards
30453,1,94415,7,Pencils
30454,4,94418,8,Candy Bar
30455,4,94418,8,Candy Bar
30456,4,94418,8,Candy Bar
30457,4,94418,8,Candy Bar
30458,4,94418,8,Candy Bar
30459,1,94421,4,Pencils
30460,2,94427,9,Bow
30461,3,94433,8,Bow
30462,1,94451,7,Magazine
30463,1,94451,7,Toothpaste
30464,1,94451,7,Toothpaste
30465,2,94451,7,Toothpaste
30466,1,94451,7,Toothpaste
30467,3,94451,7,Greeting Cards
30468,1,94451,7,Pencils
30469,1,94454,1,Pens
30470,1,94457,6,Toothpaste
30471,2,94460,6,Greeting Cards
30472,15,94460,6,Toothpaste
30473,1,94460,6,Toothpaste
30474,16,94469,6,Greeting Cards
30475,4,94475,7,Bow
30476,1,94478,9,Photo Processing
30477,2,94484,7,Perfume
30478,2,94484,7,Perfume
30479,2,94487,4,Perfume
30480,1,94490,7,Candy Bar
30481,1,94490,7,Greeting Cards
30482,3,94493,6,Greeting Cards
30483,1,94496,10,Perfume
30484,2,94502,6,Greeting Cards
30485,2,94502,6,Greeting Cards
30486,4,94505,1,Candy Bar
30487,4,94508,10,Greeting Cards
30488,2,94514,4,Greeting Cards
30489,2,94514,4,Greeting Cards
30490,2,94514,4,Pencils
30491,1,94520,5,Wrapping Paper
30492,1,94523,1,Wrapping Paper
30493,1,94529,1,Bow
30494,1,94535,5,Greeting Cards
30495,1,94535,5,Greeting Cards
30496,1,94535,5,Greeting Cards
30497,1,94535,5,Greeting Cards
30498,1,94535,5,Greeting Cards
30499,1,94544,1,Toothpaste
30500,1,94544,1,Magazine
30501,1,94547,8,Toothpaste
30502,4,94550,10,Greeting Cards
30503,2,94550,10,Candy Bar
30504,1,94556,7,Pens
30505,2,94556,7,Magazine
30506,1,94556,7,Magazine
30507,1,94559,8,Magazine
30508,1,94562,7,Magazine
30509,1,94562,7,Pens
30510,2,94565,8,Photo Processing
30511,4,94571,8,Toothpaste
30512,1,94577,3,Bow
30513,4,94583,7,Toothbrush
30514,6,94592,8,Greeting Cards
30515,6,94592,8,Candy Bar
30516,6,94592,8,Magazine
30517,8,94604,1,Magazine
30518,8,94604,1,Greeting Cards
30519,8,94604,1,Candy Bar
30520,1,94604,1,Candy Bar
30521,28,94607,9,Candy Bar
30522,2,94607,9,Magazine
30523,8,94607,9,Toothbrush
30524,2,94610,7,Toothbrush
30525,1,94613,3,Magazine
30526,2,94616,9,Shampoo
30527,8,94619,9,Candy Bar
30528,8,94619,9,Greeting Cards
30529,8,94625,8,Toothbrush
30530,3,94628,5,Toothpaste
30531,1,94634,6,Toothpaste
30532,1,94640,6,Magazine
30533,1,94640,6,Pencils
30534,1,94640,6,Pencils
30535,1,94649,8,Wrapping Paper
30536,4,94661,7,Wrapping Paper
30537,1,94667,3,Toothpaste
30538,7,94679,7,Magazine
30539,1,94682,6,Photo Processing
30540,2,94685,6,Magazine
30541,2,94685,6,Pens
30542,1,94688,6,Photo Processing
30543,1,94691,9,Magazine
30544,2,94691,9,Magazine
30545,2,94691,9,Perfume
30546,2,94691,9,Perfume
30547,2,94691,9,Perfume
30548,2,94691,9,Toothbrush
30549,2,94694,7,Perfume
30550,2,94694,7,Perfume
30551,2,94697,9,Perfume
30552,2,94697,9,Perfume
30553,1,94700,6,Toothpaste
30554,1,94703,9,Toothpaste
30555,2,94709,1,Perfume
30556,1,94712,4,Perfume
30557,2,94712,4,Toothbrush
30558,1,94715,5,Perfume
30559,2,94718,6,Toothbrush
30560,1,94718,6,Perfume
30561,1,94718,6,Perfume
30562,1,94733,2,Pencils
30563,1,94736,4,Greeting Cards
30564,1,94739,8,Candy Bar
30565,1,94739,8,Candy Bar
30566,1,94751,8,Candy Bar
30567,1,94751,8,Candy Bar
30568,1,94751,8,Candy Bar
30569,2,94751,8,Pencils
30570,1,94751,8,Magazine
30571,1,94754,4,Magazine
30572,7,94754,4,Magazine
30573,2,94754,4,Magazine
30574,1,94754,4,Magazine
30575,1,94769,4,Pain Reliever
30576,2,94772,5,Magazine
30577,2,94772,5,Magazine
30578,1,94775,4,Perfume
30579,2,94775,4,Perfume
30580,1,94784,5,Magazine
30581,3,94793,3,Pens
30582,2,94799,5,Shampoo
30583,1,94823,5,Greeting Cards
30584,1,94832,1,Toothpaste
30585,1,94832,1,Candy Bar
30586,1,94832,1,Candy Bar
30587,1,94832,1,Candy Bar
30588,1,94832,1,Greeting Cards
30589,1,94841,2,Candy Bar
30590,1,94841,2,Candy Bar
30591,1,94841,2,Candy Bar
30592,1,94841,2,Magazine
30593,1,94850,10,Magazine
30594,1,94853,6,Candy Bar
30595,1,94856,1,Magazine
30596,2,94856,1,Magazine
30597,1,94859,2,Wrapping Paper
30598,1,94865,5,Pencils
30599,1,94865,5,Candy Bar
30600,3,94868,6,Pencils
30601,1,94868,6,Magazine
30602,2,94868,6,Magazine
30603,5,94868,6,Magazine
30604,2,94868,6,Pens
30605,2,94868,6,Candy Bar
30606,3,94868,6,Candy Bar
30607,3,94868,6,Greeting Cards
30608,4,94871,7,Candy Bar
30609,3,94877,6,Magazine
30610,1,94880,9,Pencils
30611,1,94880,9,Candy Bar
30612,1,94883,5,Candy Bar
30613,1,94883,5,Candy Bar
30614,2,94886,3,Toothpaste
30615,2,94886,3,Toothpaste
30616,2,94889,1,Pencils
30617,2,94889,1,Candy Bar
30618,2,94889,1,Candy Bar
30619,1,94901,9,Pens
30620,1,94904,9,Greeting Cards
30621,1,94904,9,Pencils
30622,1,94904,9,Pencils
30623,10,94907,5,Toothbrush
30624,1,94910,2,Pens
30625,1,94910,2,Pens
30626,1,94913,6,Candy Bar
30627,1,94925,2,Greeting Cards
30628,1,94943,9,Magazine
30629,6,94946,5,Magazine
30630,18,94946,5,Magazine
30631,6,94946,5,Magazine
30632,2,94946,5,Magazine
30633,10,94946,5,Magazine
30634,1,94946,5,Magazine
30635,2,94946,5,Magazine
30636,1,94946,5,Magazine
30637,32,94946,5,Magazine
30638,2,94946,5,Magazine
30639,1,94946,5,Magazine
30640,1,94970,9,Shampoo
30641,1,94973,7,Bow
30642,1,94973,7,Bow
30643,4,94991,4,Toothbrush
30644,4,94991,4,Toothbrush
30645,1,94991,4,Bow
30646,2,94991,4,Perfume
30647,2,94991,4,Perfume
30648,1,94991,4,Perfume
30649,1,94991,4,Perfume
30650,1,94997,2,Bow
30651,1,95000,3,Bow
30652,17,95015,9,Toothpaste
30653,17,95015,9,Pencils
30654,17,95015,9,Candy Bar
30655,17,95015,9,Candy Bar
30656,2,95021,4,Greeting Cards
30657,4,95024,7,Wrapping Paper
30658,1,95024,7,Soap
30659,1,95024,7,Magazine
30660,23,95033,9,Candy Bar
30661,23,95033,9,Candy Bar
30662,23,95033,9,Toothpaste
30663,23,95033,9,Pencils
30664,1,95036,7,Magazine
30665,1,95039,7,Pens
30666,3,95051,9,Toothpaste
30667,1,95057,5,Toothpaste
30668,1,95090,9,Toothbrush
30669,1,95096,5,Magazine
30670,62,95108,1,Pencils
30671,1,95114,3,Pencils
30672,4,95126,10,Pain Reliever
30673,4,95126,10,Pain Reliever
30674,4,95126,10,Pain Reliever
30675,1,95138,10,Markers
30676,1,95138,10,Markers
30677,1,95138,10,Markers
30678,1,95141,9,Magazine
30679,4,95153,6,Perfume
30680,7,95156,2,Pain Reliever
30681,1,95165,3,Candy Bar
30682,1,95165,3,Magazine
30683,1,95168,3,Toothpaste
30684,1,95174,7,Pens
30685,1,95180,10,Pencils
30686,1,95180,10,Pencils
30687,1,95180,10,Pencils
30688,1,95183,3,Pencils
30689,1,95183,3,Candy Bar
30690,1,95183,3,Candy Bar
30691,1,95189,10,Toothpaste
30692,1,95195,8,Candy Bar
30693,1,95195,8,Candy Bar
30694,1,95195,8,Candy Bar
30695,1,95198,7,Greeting Cards
30696,1,95204,2,Magazine
30697,4,95207,8,Magazine
30698,2,95219,10,Pencils
30699,2,95219,10,Toothpaste
30700,1,95219,10,Toothpaste
30701,1,95219,10,Candy Bar
30702,3,95219,10,Greeting Cards
30703,2,95225,7,Pens
30704,1,95228,7,Pens
30705,1,95243,9,Toothbrush
30706,1,95246,4,Perfume
30707,1,95249,1,Perfume
30708,1,95255,6,Perfume
30709,1,95264,4,Pencils
30710,2,95267,7,Magazine
30711,1,95267,7,Prescription Med
30712,2,95267,7,Prescription Med
30713,2,95267,7,Prescription Med
30714,2,95267,7,Prescription Med
30715,2,95267,7,Prescription Med
30716,1,95276,3,Toothpaste
30717,10,95276,3,Pencils
30718,1,95279,2,Pencils
30719,2,95279,2,Greeting Cards
30720,3,95279,2,Candy Bar
30721,1,95279,2,Candy Bar
30722,4,95282,7,Candy Bar
30723,2,95282,7,Greeting Cards
30724,2,95282,7,Greeting Cards
30725,1,95294,8,Pencils
30726,1,95297,9,Pens
30727,1,95303,2,Pens
30728,1,95306,3,Pencils
30729,1,95306,3,Pencils
30730,1,95312,6,Toothpaste
30731,1,95321,1,Greeting Cards
30732,1,95324,4,Greeting Cards
30733,1,95333,3,Candy Bar
30734,1,95339,7,Pens
30735,1,95342,6,Magazine
30736,1,95348,9,Greeting Cards
30737,1,95351,3,Pencils
30738,1,95351,3,Pencils
30739,2,95357,6,Greeting Cards
30740,1,95357,6,Candy Bar
30741,1,95363,1,Pens
30742,1,95366,10,Bow
30743,1,95366,10,Bow
30744,1,95369,4,Magazine
30745,1,95375,1,Pens
30746,3,95375,1,Pens
30747,1,95384,7,Magazine
30748,1,95384,7,Photo Processing
30749,1,95387,5,Candy Bar
30750,2,95390,3,Toothbrush
30751,1,95393,2,Toothbrush
30752,1,95396,9,Toothbrush
30753,2,95405,10,Toothbrush
30754,9,95414,3,Perfume
30755,11,95414,3,Perfume
30756,4,95414,3,Toothbrush
30757,1,95423,2,Perfume
30758,1,95429,7,Magazine
30759,4,95435,8,Magazine
30760,6,95435,8,Magazine
30761,2,95435,8,Magazine
30762,2,95444,9,Magazine
30763,1,95447,1,Perfume
30764,5,95453,3,Magazine
30765,1,95459,9,Perfume
30766,1,95462,6,Magazine
30767,1,95468,10,Magazine
30768,1,95468,10,Magazine
30769,1,95468,10,Photo Processing
30770,1,95471,4,Soap
30771,1,95477,2,Greeting Cards
30772,1,95480,5,Toothpaste
30773,1,95480,5,Pencils
30774,1,95480,5,Magazine
30775,1,95480,5,Candy Bar
30776,1,95480,5,Candy Bar
30777,1,95480,5,Candy Bar
30778,1,95501,9,Bow
30779,6,95504,9,Magazine
30780,11,95513,3,Greeting Cards
30781,3,95516,7,Candy Bar
30782,1,95525,3,Pencils
30783,1,95525,3,Pencils
30784,2,95528,5,Soap
30785,4,95531,5,Candy Bar
30786,1,95540,6,Perfume
30787,9,95540,6,Perfume
30788,12,95555,3,Perfume
30789,2,95558,5,Wrapping Paper
30790,1,95558,5,Wrapping Paper
30791,1,95558,5,Wrapping Paper
30792,2,95558,5,Wrapping Paper
30793,2,95558,5,Wrapping Paper
30794,2,95558,5,Wrapping Paper
30795,2,95558,5,Magazine
30796,2,95561,7,Wrapping Paper
30797,1,95567,3,Magazine
30798,1,95579,4,Pencils
30799,1,95585,1,Toothpaste
30800,1,95585,1,Toothpaste
30801,1,95585,1,Toothpaste
30802,1,95585,1,Magazine
30803,2,95585,1,Greeting Cards
30804,1,95597,1,Greeting Cards
30805,1,95597,1,Magazine
30806,1,95597,1,Candy Bar
30807,1,95597,1,Candy Bar
30808,1,95600,10,Pain Reliever
30809,5,95618,8,Perfume
30810,1,95621,7,Perfume
30811,4,95621,7,Perfume
30812,4,95621,7,Perfume
30813,1,95621,7,Perfume
30814,2,95621,7,Perfume
30815,1,95621,7,Perfume
30816,2,95621,7,Toothbrush
30817,4,95621,7,Toothbrush
30818,2,95624,5,Toothbrush
30819,2,95624,5,Perfume
30820,2,95624,5,Perfume
30821,13,95627,3,Perfume
30822,18,95627,3,Perfume
30823,8,95627,3,Toothbrush
30824,4,95630,6,Toothbrush
30825,4,95630,6,Perfume
30826,4,95630,6,Perfume
30827,1,95630,6,Shampoo
30828,1,95630,6,Shampoo
30829,1,95639,5,Shampoo
30830,1,95639,5,Shampoo
30831,3,95639,5,Shampoo
30832,1,95639,5,Shampoo
30833,1,95648,6,Greeting Cards
30834,1,95648,6,Greeting Cards
30835,1,95651,3,Candy Bar
30836,10,95651,3,Perfume
30837,11,95651,3,Magazine
30838,1,95651,3,Magazine
30839,1,95651,3,Bow
30840,1,95651,3,Bow
30841,2,95651,3,Bow
30842,2,95651,3,Bow
30843,1,95651,3,Bow
30844,2,95651,3,Bow
30845,1,95651,3,Bow
30846,1,95651,3,Toothpaste
30847,2,95660,9,Bow
30848,1,95666,2,Pens
30849,1,95666,2,Magazine
30850,1,95678,8,Magazine
30851,1,95681,5,Toothpaste
30852,1,95681,5,Candy Bar
30853,1,95681,5,Candy Bar
30854,1,95681,5,Candy Bar
30855,1,95687,6,Wrapping Paper
30856,1,95690,6,Magazine
30857,1,95693,7,Candy Bar
30858,1,95696,8,Toothpaste
30859,1,95708,4,Pencils
30860,1,95714,9,Candy Bar
30861,1,95714,9,Candy Bar
30862,1,95717,6,Pencils
30863,1,95717,6,Pencils
30864,1,95720,4,Soap
30865,1,95723,9,Greeting Cards
30866,1,95723,9,Greeting Cards
30867,1,95726,1,Wrapping Paper
30868,1,95732,7,Pencils
30869,1,95735,7,Pencils
30870,1,95738,1,Candy Bar
30871,1,95738,1,Candy Bar
30872,1,95750,4,Toothpaste
30873,1,95750,4,Toothpaste
30874,1,95750,4,Toothpaste
30875,1,95750,4,Toothpaste
30876,1,95750,4,Toothpaste
30877,1,95750,4,Toothpaste
30878,1,95750,4,Toothpaste
